title,price
A Light in the Attic,£51.77
Soumission,£50.10
Sharp Objects,£47.82
The Requiem Red,£22.65
Sapiens: A Brief History of Humankind,£54.23
Tipping the Velvet,£53.74
The Black Maria,£52.15
Shakespeare's Sonnets,£20.66
Set Me Free,£17.46
The Dirty Little Secrets of Getting Your Dream Job,£33.34
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60
Rip it Up and Start Again,£35.02
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93
It's Only the Himalayas,£45.17
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29
Libertarianism for Beginners,£51.33
Olio,£23.88
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59
How Music Works,£37.32
In Her Wake,£12.84
Black Dust,£34.53
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52
Birdsong: A Story in Pictures,£54.64
Chase Me (Paris Nights #2),£25.27
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50
The Four Agreements: A Practical Guide to Personal Freedom,£17.66
Aladdin and His Wonderful Lamp,£53.13
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30
Wall and Piece,£44.18
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05
Sophie's World,£15.94
The Bear and the Piano,£36.89
The Elephant Tree,£23.82
Penny Maybe,£33.29
"In a Dark, Dark Wood",£19.63
Behind Closed Doors,£52.22
You can't bury them all: Poems,£33.63
Maude (1883-1993):She Grew Up with the country,£18.02
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),£42.57
So You've Been Publicly Shamed,£12.23
Benjamin Franklin: An American Life,£48.19
Critique of Pure Reason,£20.75
"Run, Spot, Run: The Ethics of Keeping Pets",£20.02
Old Records Never Die: One Man's Quest for His Vinyl and His Past,£55.66
The Nicomachean Ethics,£36.34
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),£59.71
Far From True (Promise Falls Trilogy #2),£34.93
The Travelers,£15.77
Leave This Song Behind: Teen Poetry at Its Best,£51.17
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42
You Are What You Love: The Spiritual Power of Habit,£21.87
God: The Most Unpleasant Character in All Fiction,£30.03
The Crossover,£38.77
Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53
The Great Railway Bazaar,£30.54
